Source,Target,Type,Id,Label,timeset,Weight,type,affiltype,regultype varchar
USDA,ICHS,Undirected,1175,,,1,false,ScienceData,Informal
DOC,ICHS,Undirected,1176,,,1,false,ScienceData,Informal
DOD,ICHS,Undirected,1177,,,1,false,ScienceData,Informal
DOE,ICHS,Undirected,1178,,,1,false,ScienceData,Informal
DHHS,ICHS,Undirected,1179,,,1,false,ScienceData,Informal
DOS,ICHS,Undirected,1180,,,1,false,ScienceData,Informal
DOT,ICHS,Undirected,1181,,,1,false,,Informal
USGCRP,USDA,Undirected,1182,,,1,false,ScienceData,FormalMOU
USGCRP,DOC,Undirected,1183,,,1,false,ScienceData,FormalMOU
USGCRP,DOD,Undirected,1184,,,1,false,ScienceData,FormalMOU
USGCRP,DOE,Undirected,1185,,,1,false,ScienceData,FormalMOU
USGCRP,DHHS,Undirected,1186,,,1,false,ScienceData,FormalMOU
USGCRP,DOI,Undirected,1187,,,1,false,ScienceData,FormalMOU
USGCRP,DOS,Undirected,1188,,,1,false,ScienceData,FormalMOU
USGCRP,DOT,Undirected,1189,,,1,false,ScienceData,FormalMOU
USGCRP,EPA,Undirected,1190,,,1,false,ScienceData,FormalMOU
USGCRP,NASA,Undirected,1191,,,1,false,ScienceData,FormalMOU
USGCRP,NSF,Undirected,1192,,,1,false,ScienceData,FormalMOU
UIC,VOAI,Undirected,1197,,,2,false,GovernanceLegal,FormalMOU
UArctic,AAC,Undirected,1199,,,1,false,ScienceData,FormalMOU
UArctic,UAA,Undirected,1200,,,1,false,ScienceData,FormalMOU
UArctic,UAF,Undirected,1201,,,1,false,ScienceData,FormalMOU
UArctic,ACUL,Undirected,1203,,,1,false,ScienceData,FormalMOU
UArctic,ARCUS,Undirected,1204,,,1,false,ScienceData,FormalMOU
SSSC,Silver B S,Undirected,1206,,,1,false,,
SSSC,JEDC,Undirected,1207,,,1,false,,
UArctic,DC,Undirected,1208,,,1,false,ScienceData,FormalMOU
UArctic,GCI,Undirected,1209,,,1,false,Multiple,FormalMOU
UArctic,IPF,Undirected,1210,,,1,false,ScienceData,FormalMOU
UArctic,IN,Undirected,1211,,,1,false,ScienceData,FormalMOU
UArctic,RAIPON,Undirected,1212,,,1,false,Multiple,FormalMOU
UArctic,SAI,Undirected,1213,,,1,false,ScienceData,FormalMOU
USCOE,DEC,Undirected,1214,,,1,false,ScienceData,FormalMOU
BLM,ACCER,Undirected,1215,,,1,false,ScienceData,FormalMOU
USCG,ACCER,Undirected,1216,,,1,false,ScienceData,FormalMOU
NRCS,ACCER,Undirected,1217,,,1,false,ScienceData,FormalMOU
NPS,ACCER,Undirected,1219,,,1,false,ScienceData,FormalMOU
BIAHouse,BIA,Undirected,1220,,,1,false,Multiple,FormalMOU
Roads,BIA,Undirected,1221,,,1,false,Multiple,FormalMOU
USDOTAirpt,ACCER,Undirected,1222,,,1,false,ScienceData,Informal
USFWS,ACCER,Undirected,1223,,,1,false,ScienceData,FormalMOU
USGS,ACCER,Undirected,1224,,,1,false,ScienceData,FormalMOU
USGS,Silver B S,Undirected,1225,,,1,false,Funder,Informal
USGS,JEDC,Undirected,1226,,,1,false,Funder,Informal
USDA-FSL,UAS,Undirected,1228,,,1,false,ScienceData,FormalMOU
USFSCLAB,ACRC,Undirected,1229,,,1,false,ScienceData,Informal
VCP,BBNC,Undirected,1230,,,1,false,GovernanceLegal,FormalMOU
VCP,BBNA,Undirected,1231,,,1,false,GovernanceLegal,FormalMOU
VA,AVCP,Undirected,1232,,,1,false,GovernanceLegal,FormalMOU
VA,Cal,Undirected,1233,,,1,false,GovernanceLegal,FormalMOU
VChef,AVCP,Undirected,1234,,,1,false,GovernanceLegal,FormalMOU
VChef,Cal,Undirected,1235,,,1,false,GovernanceLegal,FormalMOU
VK,AVCP,Undirected,1236,,,1,false,GovernanceLegal,FormalMOU
VK,Cal,Undirected,1237,,,1,false,GovernanceLegal,FormalMOU
VOAI,ASNA,Undirected,1238,,,1,false,GovernanceLegal,FormalMOU
WI,CAN,Undirected,1241,,,1,false,ScienceData,Informal
WI,WWF,Undirected,1242,,,1,false,ScienceData,Informal
WI,NC,Undirected,1244,,,1,false,ScienceData,Informal
WC,UAF,Undirected,1246,,,1,false,ScienceData,Informal
WHOI,NSF,Undirected,1247,,,1,false,ScienceData,Informal
WHOI,NOAA,Undirected,1248,,,1,false,ScienceData,Informal
WHOI,DOD,Undirected,1249,,,1,false,ScienceData,Informal
WHOI,NASA,Undirected,1250,,,1,false,ScienceData,Informal
WHOI,DOE,Undirected,1251,,,1,false,ScienceData,Informal
WHOI,EPA,Undirected,1252,,,1,false,ScienceData,Informal
WHOI,USCOE,Undirected,1253,,,1,false,ScienceData,Informal
WCRP,WMO,Undirected,1254,,,2,false,ScienceData,Informal
WCRP,IPCC,Undirected,1255,,,1,false,ScienceData,Informal
WCRP,UNEP,Undirected,1256,,,1,false,ScienceData,Informal
WCRP,UNFCCC,Undirected,1257,,,1,false,ScienceData,Informal
WCRP,GCOS,Undirected,1258,,,1,false,ScienceData,Informal
WMO,NOAA,Undirected,1261,,,1,false,ScienceData,Informal
WMO,IUCN,Undirected,1262,,,1,false,ScienceData,Informal
PNWRS,LCCC,Undirected,1267,,,1,false,ScienceData,Informal
DOW,USFWS,Undirected,1268,,,1,false,ScienceData,Informal
